Parsing hochiminh.geojson...
Loaded 3056 traffic signal nodes.

Building KD-tree...
KD-tree built in 0.34 ms.

Nearest traffic light to (10.7725, 106.6981):
  ID:        10315805798
  Location:  (10.7715858, 106.6985321)
  Distance:  112.1 m
  Query time: 0.0048 ms

--- All Nodes ---
ID              Latitude      Longitude     
1432798411      10.4373637    107.2905579   
1497312816      10.7977449    106.7241969   
1497313031      10.7991392    106.7239167   
1510214920      10.9386736    106.7676377   
1510214924      10.9389758    106.7676573   
1514204450      11.0501220    106.7925556   
1591331132      10.5404492    107.0729329   
1600372332      10.4641686    107.2105690   
1600781154      10.5099485    107.1888582   
1603810283      10.4039821    107.2306400   
1613462629      11.0174067    106.6599493   
1618160943      10.4247373    107.2217225   
1767160329      10.7558595    106.6902984   
1767760195      10.7541486    106.6866063   
1769277420      10.7735128    106.7001792   
1769277433      10.7763893    106.7027286   
1769277475      10.7761671    106.7029698   
1833373280      10.7628531    106.7834654   
1996654026      10.7654360    106.7003365   
1996654131      10.7504244    106.6599560   
1996654360      10.7639857    106.6980282   
1996655025      10.7650527    106.6999577   
1996655496      10.7638320    106.6981126   
1996745861      10.7537127    106.6867993   
2008273922      10.7929032    106.6799899   
2008273929      10.7979968    106.6713883   
2024972794      10.8023549    106.7460868   
2024973089      10.8489087    106.7743858   
2024973190      10.8022329    106.7463628   
2024973274      10.8714970    106.8088790   
2032267140      10.7566721    106.6852749   
2034589338      10.7634859    106.7036712   
2034589355      10.7712252    106.6992578   
2036141704      10.7849642    106.6890619   
2079964693      10.8074814    106.6347433   
2079964874      10.8232486    106.6295638   
2081354715      10.8030500    106.6360086   
2091954798      10.8137406    106.6328984   
2091954811      10.8231562    106.6294685   
2091954823      10.8231057    106.6296937   
2091954882      10.8137018    106.6327923   
2091954889      10.8136322    106.6326018   
2091954912      10.8230099    106.6295824   
2092411477      10.9606959    106.5022979   
2092411526      10.9348310    106.5500519   
2092411611      10.9346989    106.5496773   
2095178031      10.3549912    107.0845843   
2095178067      10.3547175    107.0845478   
2095178086      10.3551587    107.0850658   
2095178105      10.3591751    107.0790348   
2095178119      10.3547488    107.0851485   
2095178126      10.3593240    107.0790445   
2096511703      10.3528058    107.0875398   
2096511892      10.3619683    107.0754973   
2131959241      10.7640569    106.6979537   
2146838337      10.7976509    106.7209605   
2153158165      10.7211406    106.7016405   
2199887153      10.3676593    107.0853698   
2199887155      10.3677357    107.0854236   
2212447328      10.7102488    106.5988209   
2217869570      10.8489642    106.7740931   
2217869577      10.8490852    106.7742035   
2242412997      10.7218306    106.6006190   
2244462912      10.3518808    107.0887498   
2251580175      10.8205173    106.6305981   
2251580179      10.8205646    106.6307318   
2269043920      10.8265434    106.6796385   
2274981490      10.7925834    106.7516777   
2274989090      10.7731586    106.7702533   
2275303212      10.7715523    106.7170108   
2287627628      10.5403884    107.0727820   
2290177711      10.7946032    106.6778423   
2293477506      10.7996147    106.6749468   
2293477511      10.7991247    106.6801039   
2302073734      10.7555665    106.6622550   
2304476985      10.7052102    106.7376776   
2304882869      10.7399500    106.7035736   
2304882873      10.7398574    106.7035591   
2305155089      10.7404290    106.7009903   
2305155091      10.7403438    106.7008654   
2305155095      10.7404466    106.7008867   
2305155096      10.7403254    106.7009648   
2337012047      11.0086294    106.6689298   
2337861761      10.9909490    106.6874994   
2337911241      10.7142679    106.7370151   
2337911244      10.7143489    106.7370105   
2337911245      10.7143393    106.7369149   
2337911252      10.7142510    106.7369187   
2338999750      10.3519739    107.0888203   
2350604189      10.7378131    106.7219206   
2350604190      10.7378271    106.7217752   
2350604192      10.7382869    106.7214538   
2351177730      10.8017299    106.6830508   
2351177743      10.8032397    106.6845465   
2356776989      10.7374778    106.7303381   
2358137416      10.7517910    106.6771774   
2358218248      10.7267566    106.6200647   
2361106994      10.7728554    106.7698671   
2363997553      10.8084943    106.6736729   
2364060006      10.7712874    106.6871753   
2377619572      10.7560124    106.6903573   
2403042635      10.7927757    106.7073842   
2403044880      10.7886488    106.7034951   
2408534566      10.7974141    106.6906076   
2408534569      10.7982542    106.6886765   
2408534570      10.7987134    106.6876241   
2408890245      10.7676356    106.7040405   
2409402333      10.8017576    106.6369201   
2428157595      10.3633769    107.0934775   
2428157601      10.3631751    107.0935467   
2431182297      11.1558944    106.5923000   
2435247752      10.9760351    106.7580172   
2500251202      10.7910397    106.6060694   
2502891353      10.4390868    107.1619287   
